	Joy	Sadness	Neutral	Disgust	Anger	Surprise	Fear
12 hours	0.693094474131	0.513301898465	-0.772379778706	0.471099303087	-1.16044242254	0.264034741765	0.836423173816
12 year	-0.488323224468	0.820654482548	0.419803516668	0.835007932218	-0.808664890277	-0.306897539188	-0.207714717536
120	-0.390470414683	0.0475574527703	0.358805572919	0.240794421587	0.0594186100073	1.15848800988	-0.29011790184
12th	-0.636746772066	0.0575805387651	0.771316916893	-1.45860590808	0.27285509812	-0.416661871053	1.20032579805
13	0.116948388786	-0.47577272639	1.42813369944	0.0248430262217	-0.789408188632	-0.760088273479	0.396115347815
13th	-1.84335715302	-0.188428588244	-0.120197244759	-1.16611249068	-1.39927154308	-0.774834620318	3.30777769981
14	-0.66335520759	-0.179237395449	1.85271930875	-0.014927603184	-0.326800892283	0.352721451684	-0.28229312451
140	0.216676357123	-0.540821889227	0.751117167395	-0.0379326812341	0.703655183113	-0.0734543525789	-0.450623716042
15	0.309841885052	-0.420742801088	0.917835003156	-0.255621971715	0.204618425714	-0.0947869958694	-0.0394281501441
15 mins	0.235669943869	-0.11358348827	-0.80583668187	0.929581517742	0.0902743672827	-0.0200254544447	-0.220662630467
15 minutes	-0.676531740019	0.134750094942	-0.0696752124334	-0.105502920978	0.788074660775	-0.11544185568	-0.255653216235
15 years	-0.470876001738	-0.0890345763917	-0.208224359941	0.155594085198	-0.488709592694	0.954372523169	0.811409258017
150	-0.193577438257	-0.190214187948	1.15715050868	-0.0754193813087	-0.00357544973539	0.825076038273	-1.09723196339
1500	0.340079127034	0.306563197955	1.57681728801	-1.18854543139	-0.259599723319	-0.124912133686	-0.904155312293
150px	0.339125803549	-0.341401985776	-0.0445006408048	-0.296137477637	-0.314444558827	-0.293105465479	-0.348674148347
15th	-0.135237942808	-0.102025540797	1.5802827386	-0.411032596842	-0.389113021794	0.388607242785	-0.758654894153
16	0.000248795747025	-0.207923142064	1.06463409313	0.24037993775	-0.0496245239668	-0.464752415535	-0.155382349312
16th	0.249068470744	-0.982615692808	0.61051380169	-0.685217767677	0.348314355108	0.0265870971991	0.801171147241
17	0.193028802146	-0.398725929931	1.51284669205	-0.0254790478066	-0.451311621873	0.102989093403	-0.270146193063
18	-0.139958323106	-0.112032673512	1.36346835807	-0.0545170803262	-0.24822409424	-0.40609592795	0.29192025151
18th	-0.850811712138	0.327232514366	0.711006996929	0.278769744598	-0.152496675634	0.268951859766	0.595126726646
19	0.157587973901	0.0738085163794	1.21698339368	0.0865479506711	-0.706209856868	-0.593828051744	-0.053471031528
199	0.333510795517	-0.788456367435	1.56381579015	-1.26723010812	-1.15768842879	0.246450328239	0.23066825661
1am	0.533094309326	-0.162060978674	-0.525407917186	-0.208704164956	-0.202028285272	-0.765243279124	1.4095729183
1d	0.511856678595	1.95222117154	-1.40803192695	-1.74279979902	-1.04292383934	-0.0472831829061	-1.39505299392
